Sample,InputRep1,InputRep2,InputRep3,IPRep1,IPRep2,IPRep3,ControlTreatment,ControlGene,Treatment
1,19.90775154,20.15558195,19.88322202,25.48431415,25.88951085,25.59463178,n,n,1
2,19.73058955,19.78497789,19.78010379,25.13618309,25.31144455,25.22322561,n,n,1
3,19.30871925,19.53867132,19.2266981,26.16111353,26.20265006,25.72995645,n,n,1
4,19.88795178,20.00432758,19.99903236,26.00013932,25.7757738,25.35081884,y,n,2
5,19.64831161,19.8289455,19.8567551,25.57386651,25.44998712,25.03923759,y,n,2
6,19.59258605,19.84453119,19.80732688,26.19093801,26.50103237,25.9942896,y,n,2
7,15.45174668,15.33978983,15.31519779,20.28217051,20.32349465,20.22521844,n,y,3
8,15.14700317,15.28642722,15.16302073,19.52525388,19.54445732,19.49954741,n,y,3
9,14.89782023,14.96644951,14.83816802,20.30015344,20.34693822,20.29221294,n,y,3
10,15.62033196,15.57918051,15.47164403,18.13960571,18.14490323,18.06875288,y,y,4
11,15.44396585,15.43647732,15.30070703,18.00755615,18.0254162,17.98301737,y,y,4
12,15.34337039,15.31254975,15.22693978,18.81748053,18.78018463,18.77727108,y,y,4
